arm,ccr,clean_seed_rate,hcr,hcr_si,model,n,n_inheritance_judged,n_total,n_turn1_false,n_turn1_judged,source_dataset,turn1_false_rate
injected,0.455,0.005,0.46,,Qwen2.5-1.5B-Instruct,400,,,,,kdconv,
injected,0.0425,0.0,0.0425,,Qwen2.5-14B-Instruct,400,,,,,kdconv,
injected,0.3025,0.0,0.3025,,Qwen2.5-3B-Instruct,400,,,,,kdconv,
injected,0.2875,0.0,0.2875,,Qwen2.5-7B-Instruct,400,,,,,kdconv,
injected,0.2325,0.0075,0.235,,Yi-1.5-9B-Chat,400,,,,,kdconv,
injected,0.35,0.0,0.35,,glm-4-9b-chat-hf,400,,,,,kdconv,
injected,0.2975,0.005,0.2975,,internlm2_5-7b-chat,400,,,,,kdconv,
injected,0.4575,0.005,0.4625,,Qwen2.5-1.5B-Instruct,400,,,,,lccc,
injected,0.0375,0.0025,0.0375,,Qwen2.5-14B-Instruct,400,,,,,lccc,
injected,0.2375,0.0,0.2375,,Qwen2.5-3B-Instruct,400,,,,,lccc,
injected,0.2575,0.0,0.2575,,Qwen2.5-7B-Instruct,400,,,,,lccc,
injected,0.1775,0.01,0.1875,,Yi-1.5-9B-Chat,400,,,,,lccc,
injected,0.2325,0.0,0.2325,,glm-4-9b-chat-hf,400,,,,,lccc,
injected,0.265,0.0075,0.265,,internlm2_5-7b-chat,400,,,,,lccc,
self_induced,,,,0.5454545454545454,Qwen2.5-1.5B-Instruct,,11,40,11,40,,0.275
self_induced,,,,0.5,Qwen2.5-14B-Instruct,,2,40,2,40,,0.05
self_induced,,,,0.6666666666666666,Qwen2.5-3B-Instruct,,6,40,6,40,,0.15
self_induced,,,,0.6666666666666666,Qwen2.5-7B-Instruct,,3,40,3,40,,0.075
self_induced,,,,0.16666666666666666,Yi-1.5-9B-Chat,,6,40,6,40,,0.15
self_induced,,,,0.25,glm-4-9b-chat-hf,,8,40,8,40,,0.2
self_induced,,,,0.2857142857142857,internlm2_5-7b-chat,,7,40,7,40,,0.175
